First Aurthor,Year,Title,Type
Zhang C,2019,Crossing generative adversarial networks for cross-view person re-identification,Journal
Tuan Y,2019,Improving conditional sequence generative adversarial networks by stepwise evaluation,Journal
Mahapatra D,2019,Image super-resolution using progressive generative adversarial networks for medical image analysis,Journal
Liu F,2019,SUSAN: Segment unannotated image structure using adversarial network,Journal
Lu J,2019,Multi-scale adversarial network for underwater image restoration,Journal
Kahng M,2019,GAN Lab: Understanding complex deep generative models using interactive visual experimentation,Journal
Kang E,2019,Cycle_consistent adversarial denoising network for multiphase coronary CT angiography,Journal
Hayes J,2019,LOGAN: Membership inference attacks against generative models,Journal
Chen X ,2019,Gated-GAN: Adversarial gated networks for multi-collection style transfer,Journal
Ponce C,2019,Evolving images for visual neurons using a deep generative network reveals coding principles and neuronal preferences,Journal
Ghorban F ,2019,Conditional multichannel generative adversarial networks with an application to traffic signs representation learning,Journal
Zhu D,2019,Spatial interpolation using conditional generative adversarial neural networks,Journal
Kuo C,2019,Interpretable convolutional neural networks via feedforward design,Journal
